var_id,title,sub_id,sub_name,def,notes,vertical,unit,graph
70,Population 5 Years of Age and Over Who Ever Accessing Internet  in the Last 3 Months by Province and Gender,2,Communication,,"&lt;p&gt;Source: BPS, National Socio-Economic Survey (Susenas).
Note:
- Denominator is total population of male/female aged 5 years and over&lt;br /&gt;&lt;/p&gt;",1,,1.0
111,Percentage Households Owns Fixed Line Telephone  by Province and Urban Rural Classification,2,Communication,,"Source: BPS, National Socio-Economic Survey (Susenas).
Notes:
- For urban areas, denominator is total households in urban areas
- For rural areas, denominator is total households in rural areas
- For urban + rural areas, denominator is total households in urban and rural areas",1,,1.0
391,Percentage of Households Owns Cellular Mobile Phone by Province and Urban Rural Classification,2,Communication,,"Source: BPS, National Socio-Economic Survey (Susenas).
Notes:
- For urban areas, denominator is total households in urban areas
- For rural areas, denominator is total households in rural areas
- For urban + rural areas, denominator is total households in urban and rural areas",1,,1.0
392,Active Mobile Phone Number Owned by Households by Province and Urban Rural Classification (Average),2,Communication,,"Source: BPS, National Socio-Economic Survey (Susenas).
Notes:
- For urban areas, denominator is total household in urban area who own cellular phone
- For rural areas, denominator is total household in rural area who own cellular phone
- For urban + rural areas, denominator is total household in urban and rural area who own cellular phone
- Values for 2017‒2019 are not available",1,,1.0
393,Percentage of Households Owns Active Mobile Phone Number by Province,2,Communication,,"Source: BPS, National Socio-Economic Survey (Susenas).
Note:
- Denominator is households who own cellular phone
- Values for 2017‒2019 are not available",1,,1.0
395,Percentage of Population Owns Cellular Mobile Phone by Province and Urban Rural Classification,2,Communication,,"Sumber: BPS, Survei Sosial Ekonomi Nasional (Susenas).
Catatan: 
- Untuk perkotaan, pembagi adalah total penduduk  di daerah perkotaan
- Untuk perdesaan, pembagi adalah total penduduk di daerah perdesaan
- Untuk perkotaan+perdesaan, pembagi adalah total penduduk di daerah perkotaan dan perdesaan ",1,,1.0
396,Percentage of Households Owns Computer by Urban Rural Classification,2,Communication,,"&lt;p&gt;Sumber: BPS, Survei Sosial Ekonomi Nasional (Susenas)
Catatan: 
- Untuk perkotaan, pembagi adalah total rumah tangga  di daerah perkotaan
- Untuk perdesaan, pembagi adalah total rumah tangga di daerah perdesaan
- Untuk perkotaan+perdesaan, pembagi adalah total rumah tangga di daerah perkotaan dan perdesaan&lt;br /&gt;&lt;/p&gt;",1,,1.0
398,Percentage of Households Ever Accessing Internet in the Last 3 Months by Province and Urban Rural Classification,2,Communication,,"&lt;p&gt;Source: BPS, National Socio-Economic Survey (Susenas).&lt;/p&gt;&lt;p&gt;Notes:&lt;/p&gt;&lt;p&gt;- For urban areas, denominator is total households in urban areas&lt;/p&gt;&lt;p&gt;- For rural areas, denominator is total households in rural areas&lt;/p&gt;&lt;p&gt;- For urban + rural areas, denominator is total households in urban and rural areas&lt;/p&gt;",1,,1.0
402,Percentage Households Ever Accessing Internet in the Last 3 Months by Media of Access,2,Communication,,"Source: BPS, National Socio-Economic Survey (Susenas).
Notes:
- Denominator is total households who access the internet
- Values for 2009 and 2018 are not available",152,,1.0
403,Household Members Using Internet in the Last 3 Months by Province and Urban Rural Classification,2,Communication,,"Source: BPS, National Socio-Economic Survey (Susenas).
Notes:
- For urban areas, denominator is total households in urban areas who access the internet
- For rural areas, denominator is total households in rural areas who access the internet
- For urban + rural areas, denominator is total households in urban and rural areas who access the internet",1,,1.0
406,Population 5 Years of Age and Over Who Ever Accessing Internet in the Last 3 Months by Urban Rural Classification,2,Communication,,"Source: BPS, National Socio-Economic Survey (Susenas).
Notes:
- For urban areas, denominator is total households aged 5 years and over in urban areas 
- For rural areas, denominator is total households aged 5 years and over in rural areas 
- For urban + rural areas, denominator is total households aged 5 years and over in urban and rural areas ",1,,1.0
407,Population 5 Years of Age and Over Using Internet in the Last 3 Months by Province and Media of Access,2,Communication,,"Source: BPS, National Socio-Economic Survey (Susenas).
Note:
- Denominator is total population who access the internet
- The answer can be more than one
- Values for 2018 are not available",1,,1.0
420,Percentage of Population Aged 5 Years and Over Who Ever Accessing Internet in the Last 3 Months by Province and Age Group,2,Communication,,"Source: BPS, National Socio-Economic Survey (Susenas).
Note:
- Denominator is total population who access the internet",1,,1.0
423,Percentage of Population Aged 5 Years and Over Who Ever Accessing Internet in the Last 3 Months by Province and Highest Level of Education Attained,2,Communication,,"Source: BPS, National Socio-Economic Survey (Susenas).
Note:
- Denominator is total population who access the internet",1,,1.0
424,"Percentage of Population Aged 5 Years and Over Who Ever Accessing Internet in The Last 3 Months for Age Group  5-12 years old by Province, and Gender",2,Communication,,"Source: BPS, National Socio-Economic Survey (Susenas).
Note:
- Denominator is total population who access the internet at each age group",1,,1.0
425,Percentage of Population Aged 5 Years and Over Who Ever Accessing Internet in the Last 3 Months by Province and Main Type of Activities,2,Communication,,"Source: BPS, National Socio-Economic Survey (Susenas).
Note:
- Denominator is total population who access the internet at each main activities",1,,1.0
426,"Percentage of Population Aged 5 Years and Over Who Ever Accessing Internet in The Last 3 Months for Age Group 13-15 years old by Province, and Gender",2,Communication,,"Source: BPS, National Socio-Economic Survey (Susenas).
Note:
- Denominator is total population who access the internet at each age group",1,,1.0
427,"Percentage of Population Aged 5 Years and Over Who Ever Accessing Internet in The Last 3 Months for Age Group 16-18 years old by Province, and Gender",2,Communication,,"Source: BPS, National Socio-Economic Survey (Susenas).
Note:
- Denominator is total population who access the internet at each age group",1,,1.0
428,"Percentage of Population Aged 5 Years and Over Who Ever Accessing Internet in The Last 3 Months for Age Group 19-24 years old by Province, and Gender",2,Communication,,"Source: BPS, National Socio-Economic Survey (Susenas).
Note:
- Denominator is total population who access the internet at each age group",1,,1.0
429,"Percentage of Population Aged 5 Years and Over Who Ever Accessing Internet in The Last 3 Months for Age Group 25+ years old by Province, and Gender",2,Communication,,"Source: BPS, National Socio-Economic Survey (Susenas).
Note:
- Denominator is total population who access the internet at each age group",1,,1.0
430,"Percentage of Population Aged 5 Years and Over Who Ever Accessing Internet in The Last 3 Months for All Age Group by Province, and Gender",2,Communication,,"Source: BPS, National Socio-Economic Survey (Susenas).
Note:
- Denominator is total population who access the internet at each age group",1,Percent,1.0
431,"Percentage of Population Aged 5 Years and Over Who Ever Accessing Internet in The Last 3 Months by Province, Highest Level of Education Attained (Male)",2,Communication,,"&lt;p&gt;Source: BPS, National Socio-Economic Survey (Susenas).
Note:
- Denominator is total population who access the internet at each education level&lt;br /&gt;&lt;/p&gt;",1,,1.0
432,Percentage of Population Aged 10 Years and Over Who Ever Accessing Internet in The Last 3 Months by Province and Business Field Group,2,Communication,,"Source: BPS, National Socio-Economic Survey (Susenas).
Note:
- Denominator is total population who access the internet",1,Percent,1.0
433,"Percentage of Population Aged 5 Years and Over Who Ever Accessing Internet in The Last 3 Months by Province, Highest Level of Education Attained (Female)",2,Communication,,"Source: BPS, National Socio-Economic Survey (Susenas).
Note:
- Denominator is total population who access the internet at each education level",1,,1.0
434,"Percentage of Population Aged 5 Years and Over Who Ever Accessing Internet in The Last 3 Months by Province, Highest Level of Education Attained (Male+Female)",2,Communication,,"Source: BPS, National Socio-Economic Survey (Susenas).
Note:
- Denominator is total population who access the internet at each education level",1,,1.0
558,Population 5 Years of Age and Over Using Internet in the Last 3 Months by Province and Location of Access,2,Communication,,"Source: BPS, National Socio-Economic Survey (Susenas).
Note:
- Denominator is total population who access the internet
- Values for 2018 are not available",1,,1.0
560,Percentage Households Ever Accessing Internet in the Last 3 Months by Location of Access,2,Communication,,"Source: BPS, National Socio-Economic Survey (Susenas).
Note:
- Denominator is total households who access the internet
- Values for 2018 are not available",357,,1.0
840,Percentage of Population Aged 5 Years and Over Who Ever Accessing Internet in the Last 3 Months by Age Group,2,Communication,,"Source: BPS, National Socio-Economic Survey (Susenas).
Note:
- Denominator is total population who access the internet",212,Percent,1.0
858,Percentage of Population Aged 5 Years and Over Who Ever Accessing Internet 	 in the Last 3 Months  by Media of Access,2,Communication,,"Source: BPS, National Socio-Economic Survey (Susenas).
Note:
- Denominator is total households who access the internet
- The answer can be more than one
- Values for 2018 are not available",152,Percent,1.0
860,Percentage of Population Aged 5 Years and Over Who Ever Accessing Internet 	 in the Last 3 Months by Highest Level of Education Attained,2,Communication,,"Source: BPS, National Socio-Economic Survey (Susenas).
Note:
- Denominator is total population who access the internet
- 2018 is revision number",214,Percent,1.0
871,Percentage of Population Aged 5 Years and Over Who Ever Accessing Internet in the Last 3 Months by Media/Location of Access,2,Communication,,"Source: BPS, National Socio-Economic Survey (Susenas).
Note:
- Denominator is total population who access the internet
- The answer can be more than one
- Values for 2018 are not available",153,Percent,1.0
968,Percentage of Movie Titles by Cinema Company by Genre,2,Communication,,"&lt;p&gt;Source: BPS, Information and Communication Company Survey 2013‒2014 and 2017, Business Characteristics Survey 2019.&lt;/p&gt;&lt;p&gt;Notes:&lt;/p&gt;&lt;p&gt;- The most recent Information and Communication Company Survey was conducted in 2015; the survey was carried out again in 2018.&lt;/p&gt;&lt;p&gt;- In 2019 the Information and Communication Company Survey was changed to the Business Characteristics Survey.&lt;/p&gt;&lt;p&gt;- Business Characteristics Survey 2020 was unable to produce this indicator for the 2019 data year due to the Covid-19 Pandemic.&lt;/p&gt;",239,Percent,1.0
983,Number of Telephone Customers by Type of Network Operation,2,Communication,,&lt;p&gt;&lt;br /&gt;&lt;/p&gt;&lt;p&gt;&lt;br /&gt;&lt;/p&gt;&lt;p&gt;&lt;br /&gt;&lt;/p&gt;&lt;p&gt;&lt;br /&gt;&lt;/p&gt;&lt;p&gt;&lt;br /&gt;&lt;/p&gt;&lt;p&gt;&lt;br /&gt;&lt;/p&gt;&lt;p&gt;&lt;br /&gt;&lt;/p&gt;&lt;p&gt;Source: Ministry of Communications and Information Technology&lt;br /&gt;&lt;/p&gt;&lt;p&gt;&lt;br /&gt;&lt;/p&gt;&lt;p&gt;&lt;br /&gt;&lt;/p&gt;&lt;p&gt;&lt;br /&gt;&lt;/p&gt;&lt;p&gt;&lt;br /&gt;&lt;/p&gt;&lt;p&gt;&lt;br /&gt;&lt;/p&gt;&lt;p&gt;&lt;br /&gt;&lt;/p&gt;&lt;p&gt;&lt;br /&gt;&lt;/p&gt;,241,,1.0
984,Percentage of Periodical Circulation Publishing by Publishing Company by Type/Category,2,Communication,,"&lt;p&gt;&lt;br /&gt;&lt;/p&gt;&lt;p&gt;Source: BPS, Information and Communication Company Survey.&lt;/p&gt;&lt;p&gt;&lt;br /&gt;&lt;/p&gt;&lt;p&gt;Note:&lt;/p&gt;&lt;p&gt;&lt;br /&gt;&lt;/p&gt;&lt;p&gt;- The last survey was conducted in 2015.&lt;/p&gt;&lt;p&gt;&lt;br /&gt;&lt;/p&gt;",242,Percent,1.0
1670,Percentage of Households Owns Computer by Province and Lighting Source,2,Communication,,"Source: BPS, National Socio-Economic Survey (Susenas).
Note:
- Denominator is household in urban and rural area who own computer",1,Percent,1.0
1671,Percentage of Population Using Computer by Province and Urban Rural Classification,2,Communication,,"Source: BPS, National Socio-Economic Survey (Susenas).
Note:
- Denominator is population in each area",1,Percent,1.0
