iso3,area_name,period,house_price_index_change,dwellings_change,flag,flag_iso3
AUS,Australia,2001-2021,1.395822330959748,0.026254503930999817,🇦🇺,🇦🇺AUS
AUT,Austria,2001-2021,0.7937848834071428,0.1482975398740667,🇦🇹,🇦🇹AUT
BEL,Belgium,2001-2021,0.7061222404348813,0.06481497244636336,🇧🇪,🇧🇪BEL
CAN,Canada,2001-2021,1.8658008783919229,0.06988753916237878,🇨🇦,🇨🇦CAN
CHE,Switzerland,2000-2020,0.7587316617132926,0.06625572581261352,🇨🇭,🇨🇭CHE
DEU,Germany,2001-2021,0.4098446818843986,0.10314459174781465,🇩🇪,🇩🇪DEU
ESP,Spain,2001-2021,0.47899132322476023,0.07161397035526162,🇪🇸,🇪🇸ESP
FIN,Finland,2001-2021,0.41685075498670554,0.1621682283484014,🇫🇮,🇫🇮FIN
FRA,France,2002-2022,0.7506982268019764,0.12196018717257662,🇫🇷,🇫🇷FRA
GBR,UK,2000-2020,0.8967617057905621,0.024459527030932238,🇬🇧,🇬🇧GBR
IRL,Ireland,2002-2022,0.3248439624450088,0.1125327348290377,🇮🇪,🇮🇪IRL
JPN,Japan,1998-2018,-0.20845001373410255,0.24227022960814626,🇯🇵,🇯🇵JPN
KOR,South Korea,2000-2020,0.3467456412765315,0.6816735188084817,🇰🇷,🇰🇷KOR
NLD,Netherlands,2000-2020,0.27785648859263645,0.07841865167881479,🇧🇶,🇧🇶NLD
NLD,Netherlands,2000-2020,0.27785648859263645,0.07841865167881479,🇳🇱,🇳🇱NLD
NZL,New Zealand,2001-2021,2.6979162490776196,-0.017877211862214137,🇳🇿,🇳🇿NZL
PRT,Portugal,2001-2021,0.1295501697558763,0.13254496253036052,🇵🇹,🇵🇹PRT
SWE,Sweden,2001-2021,1.6498363704752834,0.007761510718828246,🇸🇪,🇸🇪SWE
