,name,link,scrape_time,prices,price,relative_price
1,Tesco Carrots Loose,https://www.tesco.com/groceries/en-GB/products/254638565,1687613719.0079172,"['£0.09', '£0.55/kg']",0.09,£0.55/kg
2,Hearty Food Co. Garlic Baguette 170G,https://www.tesco.com/groceries/en-GB/products/300917822,1687613719.105969,"['£0.37', '£0.22/100g']",0.37,£0.22/100g
3,Jaffa Clementine Or Sweet Easy Peeler 600G,https://www.tesco.com/groceries/en-GB/products/288135169,1687613719.192889,"['£2.00', '£3.33/kg']",2.0,£3.33/kg
4,Tesco British Pork Wafer Thin Honey Roast Ham 125G,https://www.tesco.com/groceries/en-GB/products/276492495,1687613719.3785431,"['£2.25', '£1.80/100g']",2.25,£1.80/100g
5,Tesco Unsmked Back Bacon*10 300G Promo,https://www.tesco.com/groceries/en-GB/products/268287042,1687613719.4944808,"['£2.10', '£7.00/kg']",2.1,£7.00/kg
6,Tesco Gala Apple Minimum 5 Pack,https://www.tesco.com/groceries/en-GB/products/284475550,1687613719.57283,"['£1.70', '£0.28/each']",1.7,£0.28/each
7,Tesco Smoked Back Bacon 10 Rashers 300G,https://www.tesco.com/groceries/en-GB/products/267995121,1687613719.6504588,"['£2.10', '£7.00/kg']",2.1,£7.00/kg
8,Tesco Pure Apple Juice 1 Litre,https://www.tesco.com/groceries/en-GB/products/254859580,1687613719.722232,"['£1.15', '£0.12/100ml']",1.15,£0.12/100ml
9,Tesco Skimmed Milk 1.136L/2 Pints,https://www.tesco.com/groceries/en-GB/products/252208041,1687613719.846115,"['£1.25', '£1.10/litre']",1.25,£1.10/litre
10,Redmere Farms Garlic 4 Pack,https://www.tesco.com/groceries/en-GB/products/292201759,1687613719.940639,"['£0.95', '£0.95/each']",0.95,£0.95/each
11,Tesco Finest 10 Pigs In Blankets 210G,https://www.tesco.com/groceries/en-GB/products/279992532,1687613720.030659,"['£3.25', '£15.48/kg']",3.25,£15.48/kg
12,Tesco Finest Piccobella Tomatoes 220G,https://www.tesco.com/groceries/en-GB/products/308091212,1687613720.1328142,"['£1.80', '£8.18/kg']",1.8,£8.18/kg
13,Tesco Filtered Semi Skimmed Milk 2 Litre,https://www.tesco.com/groceries/en-GB/products/253737115,1687613720.212088,"['£1.90', '£0.95/litre']",1.9,£0.95/litre
14,Tesco Organic Fair Trade Bananas 5 Pack,https://www.tesco.com/groceries/en-GB/products/303869954,1687613720.290566,"['£1.35', '£0.27/each']",1.35,£0.27/each
15,Tesco Satsumas 600G,https://www.tesco.com/groceries/en-GB/products/267528710,1687613720.3836968,"['£1.35', '£2.25/kg']",1.35,£2.25/kg
16,Tesco Whole Milk 2 Pints/1.13L,https://www.tesco.com/groceries/en-GB/products/252207566,1687613720.465446,"['£1.25', '£1.11/litre']",1.25,£1.11/litre
17,Tesco Tenderstem Broccoli 200G,https://www.tesco.com/groceries/en-GB/products/305255289,1687613720.546222,"['£1.60', '£8.00/kg']",1.6,£8.00/kg
18,Tesco Pink Onions 1Kg,https://www.tesco.com/groceries/en-GB/products/305982539,1687613720.642661,"['£0.95', '£0.95/kg']",0.95,£0.95/kg
20,Tesco Swede,https://www.tesco.com/groceries/en-GB/products/304785423,1687613720.8348532,"['£0.65', '£0.65/each']",0.65,£0.65/each
21,Tesco 2 British Chicken Breast Fillets 300G,https://www.tesco.com/groceries/en-GB/products/285210252,1687613720.9246268,"['£2.29', '£7.63/kg']",2.29,£7.63/kg
22,Tesco Baby Plum Tomatoes 300G,https://www.tesco.com/groceries/en-GB/products/314119392,1687613721.0021691,"['£1.00', '£3.33/kg']",1.0,£3.33/kg
23,Tesco Baby Spinach 250G,https://www.tesco.com/groceries/en-GB/products/301219119,1687613721.095072,"['£1.15', '£4.60/kg']",1.15,£4.60/kg
25,Tesco Sweet Vine Ripened Tomatoes 255G,https://www.tesco.com/groceries/en-GB/products/305834203,1687613721.2488441,"['£1.20', '£4.71/kg']",1.2,£4.71/kg
26,Growers Harvest Pure Apple Juice 1 Litre,https://www.tesco.com/groceries/en-GB/products/300473931,1687613721.3283882,"['£0.85', '£0.08/100ml']",0.85,£0.08/100ml
27,Nightingale Farms Cherry Tomatoes 250G,https://www.tesco.com/groceries/en-GB/products/292213267,1687613721.433249,"['£0.60', '£2.40/kg']",0.6,£2.40/kg
28,Loose Red Onions Class 2,https://www.tesco.com/groceries/en-GB/products/258114107,1687613721.531133,"['£0.21', '£1.00/kg']",0.21,£1.00/kg
29,T.Ready To Eat Large Avocados Each,https://www.tesco.com/groceries/en-GB/products/265299361,1687613721.6303842,"['£0.89', '£0.89/each']",0.89,£0.89/each
30,Tesco Honeydew Melon Each,https://www.tesco.com/groceries/en-GB/products/254384645,1687613721.7659252,"['£1.89', '£1.89/each']",1.89,£1.89/each
31,Tesco Beef Lean Steak Mince 5% Fat 750G,https://www.tesco.com/groceries/en-GB/products/282470731,1687613721.8580182,"['£4.99', '£6.65/kg']",4.99,£6.65/kg
32,Cathedral City Mature Cheddar 350G,https://www.tesco.com/groceries/en-GB/products/268768873,1687613721.9422112,"['£3.25', '£9.29/kg']",3.25,£9.29/kg
33,Tesco Mature Cheddar 400G,https://www.tesco.com/groceries/en-GB/products/305977270,1687613722.028692,"['£3.40', '£8.50/kg']",3.4,£8.50/kg
34,Tesco Semi Skimmed Longlife Milk 1 Litre,https://www.tesco.com/groceries/en-GB/products/254278040,1687613722.109822,"['£1.20', '£1.20/litre']",1.2,£1.20/litre
35,Tesco Extra Mature Cheddar Cheese 400G,https://www.tesco.com/groceries/en-GB/products/306665741,1687613722.216775,"['£3.40', '£8.50/kg']",3.4,£8.50/kg
36,Tesco Finest 12 Pork British Chipolata 375G,https://www.tesco.com/groceries/en-GB/products/251523740,1687613722.290266,"['£3.25', '£8.67/kg']",3.25,£8.67/kg
37,Tesco Finest British Pork Sausages 400G,https://www.tesco.com/groceries/en-GB/products/280002982,1687613722.389473,"['£3.25', '£8.12/kg']",3.25,£8.12/kg
