Year,Health,Space,General Science,Energy,Natural Resources,Other,Nondefense R&D,Defense R&D,TOTAL R&D
1953,0.39,0.43,0.54,0,0.32,0.85,2.51,13.21,15.72
1954,0.43,0.41,0.57,0,0.32,0.77,2.5,13.03,15.54
1955,0.58,0.36,0.67,0.22,0.27,0.77,2.88,12.94,15.81
1956,0.66,0.41,0.76,0.34,0.31,1.01,3.48,15.43,18.92
1957,1.05,0.43,0.93,0.6,0.35,1.16,4.53,16.74,21.26
1958,1.2,0.55,1.2,0.82,0.41,1.37,5.55,18.72,24.28
1959,1.62,0.87,1.53,0.96,0.66,2.01,7.65,40.22,47.87
1960,2.05,2.44,1.78,1.18,0.5,2.3,10.24,43.9,54.14
1961,2.41,4.71,2.08,1.26,0.77,2.37,13.6,50.52,64.12
1962,3.14,8.03,2.27,2.87,0.72,2.81,19.85,51.23,71.07
1963,3.93,16.37,2.6,3.3,0.85,3.11,30.14,51.01,81.16
1964,4.96,26.04,3.06,3.53,0.85,3.37,41.82,55.46,97.27
1965,4.09,31.17,3.16,3.31,0.97,4.18,46.88,49.05,95.93
1966,5.01,35.79,3.49,3.06,1.08,4.62,53.07,48.16,101.23
1967,5.95,33.2,3.74,3.15,1.19,4.74,51.99,53.13,105.12
1968,6.25,28.39,3.36,3.28,1.32,5.93,48.55,54.38,102.91
1969,6.53,24.49,4.05,2.86,1.41,5.37,44.72,50.61,95.31
1970,6.2,20.33,3.96,2.6,1.74,6.38,41.2,46.34,87.55
1971,6.17,17.28,3.93,2.5,1.93,8.33,40.14,44.58,84.72
1972,7.22,16.05,4.08,1.72,2.66,7.44,39.19,46.39,85.57
1973,8.34,15.32,4.05,1.91,2.71,7.39,39.71,45.97,85.68
1974,7.79,13.61,3.9,2.46,2.4,7.53,37.69,44.16,81.86
1975,8.04,12.24,3.75,3.97,2.75,6.79,37.54,41.34,78.89
1976,9.11,12.84,3.5,5.67,2.57,6.77,40.46,39.07,79.52
1977,6.12,13.01,3.47,8.15,2.17,6.3,39.22,40.35,79.57
1978,9.61,12.01,3.38,8.84,2.35,7.11,43.3,41.98,85.29
1979,10.42,11.76,3.47,10.62,2.88,6.5,45.67,39.02,84.69
1980,10.89,12.61,3.5,9.74,2.82,6.59,46.14,43.32,89.46
1981,11,12.93,3.77,9.92,2.45,6.34,46.42,45.63,92.05
1982,10.94,6.79,3.58,8.39,2.11,5.6,37.41,49.9,87.31
