Year,Source,Value
1955-01-01,NCSES,0.008199999999999999
1956-01-01,NCSES,0.0111
1957-01-01,NCSES,0.0131
1958-01-01,NCSES,0.014499999999999999
1959-01-01,NCSES,0.015700000000000002
1960-01-01,NCSES,0.016399999999999998
1961-01-01,NCSES,0.0169
1962-01-01,NCSES,0.0168
1963-01-01,NCSES,0.0183
1964-01-01,NCSES,0.018600000000000002
1965-01-01,NCSES,0.0178
1966-01-01,NCSES,0.0174
1967-01-01,NCSES,0.0169
1968-01-01,NCSES,0.0159
1969-01-01,NCSES,0.015
1970-01-01,NCSES,0.013999999999999999
1971-01-01,NCSES,0.0131
1972-01-01,NCSES,0.0125
1973-01-01,NCSES,0.0116
1974-01-01,NCSES,0.011200000000000002
1975-01-01,NCSES,0.011000000000000001
1976-01-01,NCSES,0.0108
1977-01-01,NCSES,0.0106
1978-01-01,NCSES,0.0104
1979-01-01,NCSES,0.0104
1980-01-01,NCSES,0.0105
1981-01-01,NCSES,0.0105
1982-01-01,NCSES,0.0111
1983-01-01,NCSES,0.011399999999999999
1984-01-01,NCSES,0.0115
1985-01-01,NCSES,0.0121
1986-01-01,NCSES,0.011899999999999999
1987-01-01,NCSES,0.0121
1988-01-01,NCSES,0.0115
1989-01-01,NCSES,0.010700000000000001
1990-01-01,NCSES,0.0103
1991-01-01,NCSES,0.009899999999999999
1992-01-01,NCSES,0.009300000000000001
1993-01-01,NCSES,0.0088
1994-01-01,NCSES,0.0083
1995-01-01,NCSES,0.008199999999999999
1996-01-01,NCSES,0.0079
1997-01-01,NCSES,0.0075
1998-01-01,NCSES,0.0073
1999-01-01,NCSES,0.0069
2000-01-01,NCSES,0.0066
2001-01-01,NCSES,0.006999999999999999
2002-01-01,NCSES,0.0072
2003-01-01,NCSES,0.0074
2004-01-01,NCSES,0.0074
2005-01-01,NCSES,0.0073
2006-01-01,NCSES,0.0072
2007-01-01,NCSES,0.0073
2008-01-01,NCSES,0.008
2009-01-01,NCSES,0.0087
2010-01-01,NCSES,0.0084
2011-01-01,NCSES,0.008100000000000001
2012-01-01,NCSES,0.0076
2013-01-01,NCSES,0.0070999999999999995
2014-01-01,NCSES,0.0067
2015-01-01,NCSES,0.0066
2016-01-01,NCSES,0.0063
2017-01-01,NCSES,0.0063
2018-01-01,NCSES,0.0064
2019-01-01,NCSES,0.0064
2020-01-01,NCSES,0.006999999999999999
1955-01-01,NCES (including R&D Plant),0.005795118647790396
1956-01-01,NCES (including R&D Plant),0.00648912073282761
1957-01-01,NCES (including R&D Plant),0.008280265507597966
1958-01-01,NCES (including R&D Plant),0.009148141846243156
1959-01-01,NCES (including R&D Plant),0.012663639803253877
1960-01-01,NCES (including R&D Plant),0.01398008504304911
1961-01-01,NCES (including R&D Plant),0.015602502187347145
1962-01-01,NCES (including R&D Plant),0.016806036453909975
1963-01-01,NCES (including R&D Plant),0.01910731598408412
1964-01-01,NCES (including R&D Plant),0.020399558881946427
1965-01-01,NCES (including R&D Plant),0.018933558936435117
1966-01-01,NCES (including R&D Plant),0.01838469126439154
1967-01-01,NCES (including R&D Plant),0.01875229028894796
1968-01-01,NCES (including R&D Plant),0.016446804334576407
1969-01-01,NCES (including R&D Plant),0.015066267108607933
1970-01-01,NCES (including R&D Plant),0.014090471501219906
1971-01-01,NCES (including R&D Plant),0.013058085503029917
1972-01-01,NCES (including R&D Plant),0.012413236772558438
1973-01-01,NCES (including R&D Plant),0.011379885645696744
1974-01-01,NCES (including R&D Plant),0.0108834334888437
1975-01-01,NCES (including R&D Plant),0.01080637132619417
1976-01-01,NCES (including R&D Plant),0.010743054367196357
1977-01-01,NCES (including R&D Plant),0.010835062168768223
1978-01-01,NCES (including R&D Plant),0.010487095212699171
1979-01-01,NCES (including R&D Plant),0.010355804562824467
1980-01-01,NCES (including R&D Plant),0.009960955359418695
1981-01-01,NCES (including R&D Plant),0.01028249662126945
1982-01-01,NCES (including R&D Plant),0.010614063935958826
1983-01-01,NCES (including R&D Plant),0.010216338235425882
1984-01-01,NCES (including R&D Plant),0.010657697109183422
1985-01-01,NCES (including R&D Plant),0.011225460127531057
