Census 2021 Super Data Zone Code,Census 2021 Super Data Zone Label,Economic Activity - 9 Categories Code,Economic Activity - 9 Categories Label,Count
N21000001,Dunsilly_A,1,Economically active: Employee (including full-time students),1275
N21000001,Dunsilly_A,2,Economically active: Self-employed (including full-time students),371
N21000001,Dunsilly_A,3,Economically active: Unemployed (including full-time students),52
N21000001,Dunsilly_A,4,Economically inactive: Retired,535
N21000001,Dunsilly_A,5,Economically inactive: Student,119
N21000001,Dunsilly_A,6,Economically inactive: Looking after home or family,85
N21000001,Dunsilly_A,7,Economically inactive: Long-term sick or disabled,108
N21000001,Dunsilly_A,8,Economically inactive: Other,46
N21000001,Dunsilly_A,-8,No code required,682
N21000002,Dunsilly_B,1,Economically active: Employee (including full-time students),1293
N21000002,Dunsilly_B,2,Economically active: Self-employed (including full-time students),375
N21000002,Dunsilly_B,3,Economically active: Unemployed (including full-time students),51
N21000002,Dunsilly_B,4,Economically inactive: Retired,572
N21000002,Dunsilly_B,5,Economically inactive: Student,129
N21000002,Dunsilly_B,6,Economically inactive: Looking after home or family,74
N21000002,Dunsilly_B,7,Economically inactive: Long-term sick or disabled,83
N21000002,Dunsilly_B,8,Economically inactive: Other,45
N21000002,Dunsilly_B,-8,No code required,509
N21000003,Dunsilly_C,1,Economically active: Employee (including full-time students),976
N21000003,Dunsilly_C,2,Economically active: Self-employed (including full-time students),221
N21000003,Dunsilly_C,3,Economically active: Unemployed (including full-time students),41
N21000003,Dunsilly_C,4,Economically inactive: Retired,288
N21000003,Dunsilly_C,5,Economically inactive: Student,111
N21000003,Dunsilly_C,6,Economically inactive: Looking after home or family,84
N21000003,Dunsilly_C,7,Economically inactive: Long-term sick or disabled,160
N21000003,Dunsilly_C,8,Economically inactive: Other,68
N21000003,Dunsilly_C,-8,No code required,578
N21000004,Dunsilly_D,1,Economically active: Employee (including full-time students),1117
N21000004,Dunsilly_D,2,Economically active: Self-employed (including full-time students),168
N21000004,Dunsilly_D,3,Economically active: Unemployed (including full-time students),54
N21000004,Dunsilly_D,4,Economically inactive: Retired,627
N21000004,Dunsilly_D,5,Economically inactive: Student,70
N21000004,Dunsilly_D,6,Economically inactive: Looking after home or family,108
N21000004,Dunsilly_D,7,Economically inactive: Long-term sick or disabled,237
N21000004,Dunsilly_D,8,Economically inactive: Other,77
N21000004,Dunsilly_D,-8,No code required,536
N21000005,Dunsilly_E,1,Economically active: Employee (including full-time students),980
N21000005,Dunsilly_E,2,Economically active: Self-employed (including full-time students),130
N21000005,Dunsilly_E,3,Economically active: Unemployed (including full-time students),37
N21000005,Dunsilly_E,4,Economically inactive: Retired,260
N21000005,Dunsilly_E,5,Economically inactive: Student,83
N21000005,Dunsilly_E,6,Economically inactive: Looking after home or family,74
N21000005,Dunsilly_E,7,Economically inactive: Long-term sick or disabled,86
N21000005,Dunsilly_E,8,Economically inactive: Other,26
N21000005,Dunsilly_E,-8,No code required,484
N21000006,Dunsilly_F,1,Economically active: Employee (including full-time students),1617
N21000006,Dunsilly_F,2,Economically active: Self-employed (including full-time students),369
N21000006,Dunsilly_F,3,Economically active: Unemployed (including full-time students),50
N21000006,Dunsilly_F,4,Economically inactive: Retired,487
N21000006,Dunsilly_F,5,Economically inactive: Student,140
N21000006,Dunsilly_F,6,Economically inactive: Looking after home or family,91
N21000006,Dunsilly_F,7,Economically inactive: Long-term sick or disabled,106
N21000006,Dunsilly_F,8,Economically inactive: Other,86
N21000006,Dunsilly_F,-8,No code required,972
N21000007,Antrim_A,1,Economically active: Employee (including full-time students),753
N21000007,Antrim_A,2,Economically active: Self-employed (including full-time students),83
N21000007,Antrim_A,3,Economically active: Unemployed (including full-time students),36
N21000007,Antrim_A,4,Economically inactive: Retired,108
N21000007,Antrim_A,5,Economically inactive: Student,67
N21000007,Antrim_A,6,Economically inactive: Looking after home or family,71
N21000007,Antrim_A,7,Economically inactive: Long-term sick or disabled,114
N21000007,Antrim_A,8,Economically inactive: Other,55
N21000007,Antrim_A,-8,No code required,550
N21000008,Antrim_B,1,Economically active: Employee (including full-time students),919
N21000008,Antrim_B,2,Economically active: Self-employed (including full-time students),62
N21000008,Antrim_B,3,Economically active: Unemployed (including full-time students),23
N21000008,Antrim_B,4,Economically inactive: Retired,197
N21000008,Antrim_B,5,Economically inactive: Student,41
N21000008,Antrim_B,6,Economically inactive: Looking after home or family,35
N21000008,Antrim_B,7,Economically inactive: Long-term sick or disabled,98
N21000008,Antrim_B,8,Economically inactive: Other,27
N21000008,Antrim_B,-8,No code required,390
N21000009,Antrim_C,1,Economically active: Employee (including full-time students),1118
N21000009,Antrim_C,2,Economically active: Self-employed (including full-time students),126
N21000009,Antrim_C,3,Economically active: Unemployed (including full-time students),37
N21000009,Antrim_C,4,Economically inactive: Retired,445
N21000009,Antrim_C,5,Economically inactive: Student,82
N21000009,Antrim_C,6,Economically inactive: Looking after home or family,56
N21000009,Antrim_C,7,Economically inactive: Long-term sick or disabled,95
N21000009,Antrim_C,8,Economically inactive: Other,34
N21000009,Antrim_C,-8,No code required,463
N21000010,Antrim_D,1,Economically active: Employee (including full-time students),1058
N21000010,Antrim_D,2,Economically active: Self-employed (including full-time students),83
N21000010,Antrim_D,3,Economically active: Unemployed (including full-time students),38
N21000010,Antrim_D,4,Economically inactive: Retired,307
N21000010,Antrim_D,5,Economically inactive: Student,61
N21000010,Antrim_D,6,Economically inactive: Looking after home or family,87
N21000010,Antrim_D,7,Economically inactive: Long-term sick or disabled,157
N21000010,Antrim_D,8,Economically inactive: Other,40
N21000010,Antrim_D,-8,No code required,592
N21000011,Antrim_E,1,Economically active: Employee (including full-time students),582
N21000011,Antrim_E,2,Economically active: Self-employed (including full-time students),39
N21000011,Antrim_E,3,Economically active: Unemployed (including full-time students),49
N21000011,Antrim_E,4,Economically inactive: Retired,207
N21000011,Antrim_E,5,Economically inactive: Student,55
N21000011,Antrim_E,6,Economically inactive: Looking after home or family,99
N21000011,Antrim_E,7,Economically inactive: Long-term sick or disabled,182
N21000011,Antrim_E,8,Economically inactive: Other,71
N21000011,Antrim_E,-8,No code required,367
N21000012,Antrim_F,1,Economically active: Employee (including full-time students),832
N21000012,Antrim_F,2,Economically active: Self-employed (including full-time students),62
N21000012,Antrim_F,3,Economically active: Unemployed (including full-time students),66
N21000012,Antrim_F,4,Economically inactive: Retired,346
N21000012,Antrim_F,5,Economically inactive: Student,75
N21000012,Antrim_F,6,Economically inactive: Looking after home or family,99
N21000012,Antrim_F,7,Economically inactive: Long-term sick or disabled,210
N21000012,Antrim_F,8,Economically inactive: Other,71
N21000012,Antrim_F,-8,No code required,442
N21000013,Antrim_G,1,Economically active: Employee (including full-time students),856
N21000013,Antrim_G,2,Economically active: Self-employed (including full-time students),77
N21000013,Antrim_G,3,Economically active: Unemployed (including full-time students),59
N21000013,Antrim_G,4,Economically inactive: Retired,471
N21000013,Antrim_G,5,Economically inactive: Student,60
N21000013,Antrim_G,6,Economically inactive: Looking after home or family,59
N21000013,Antrim_G,7,Economically inactive: Long-term sick or disabled,193
N21000013,Antrim_G,8,Economically inactive: Other,60
