,GEO,GEO_name,2016,2017,2018,2019,2020,pop_2017,pop_2018,pop_2019,pop_2020,pop_2021,2019_rel,Country
0,DK01,Hovedstaden,63500.0,66200.0,67700.0,68800.0,69700.0,1807404.0,1822659.0,1835562.0,1846023.0,1855084.0,1.4378495250000438,Denmark
1,DK02,Sjælland,33700.0,35000.0,35800.0,37500.0,37600.0,832553.0,835024.0,836738.0,837359.0,838840.0,0.7837115870276402,Denmark
2,DK03,Syddanmark,44600.0,45500.0,46200.0,47600.0,47400.0,1217224.0,1220763.0,1223348.0,1223105.0,1223634.0,0.9947912411337513,Denmark
3,DK04,Midtjylland,45300.0,46700.0,47300.0,48900.0,49200.0,1304253.0,1313596.0,1320678.0,1326340.0,1332048.0,1.0219599094840428,Denmark
4,DK05,Nordjylland,41600.0,43300.0,43600.0,44400.0,44600.0,587335.0,589148.0,589755.0,589936.0,590439.0,0.927914519040726,Denmark
5,DE11,Stuttgart,49400.0,51800.0,53700.0,54100.0,51900.0,4098278.0,4126688.0,4143418.0,4154223.0,4151094.0,1.340444346139148,Germany
6,DE12,Karlsruhe,41900.0,43600.0,44700.0,45600.0,44000.0,2779314.0,2795783.0,2805129.0,2810854.0,2807601.0,1.1298384876884502,Germany
7,DE13,Freiburg,36400.0,37500.0,38700.0,39700.0,38100.0,2239734.0,2254674.0,2264469.0,2271351.0,2276924.0,0.983653244763848,Germany
8,DE14,Tübingen,41300.0,42700.0,44000.0,45200.0,43300.0,1834567.0,1846280.0,1856517.0,1863966.0,1867424.0,1.1199276237613585,Germany
9,DE21,Oberbayern,55500.0,57900.0,58700.0,60600.0,58000.0,4633323.0,4649534.0,4686163.0,4710865.0,4719716.0,1.5014958849543876,Germany
10,DE22,Niederbayern,37500.0,39100.0,39400.0,40400.0,38900.0,1219397.0,1230037.0,1238528.0,1244169.0,1247063.0,1.0009972566362584,Germany
11,DE23,Oberpfalz,39800.0,41900.0,42600.0,43400.0,41700.0,1098378.0,1104407.0,1109269.0,1112102.0,1112267.0,1.075328736089446,Germany
12,DE24,Oberfranken,35900.0,37600.0,38500.0,39500.0,38300.0,1062394.0,1066840.0,1067482.0,1065371.0,1062085.0,0.9786978128003022,Germany
13,DE25,Mittelfranken,42400.0,44100.0,45600.0,46600.0,44800.0,1750059.0,1759643.0,1770401.0,1775169.0,1775704.0,1.1546156475061793,Germany
14,DE26,Unterfranken,38700.0,40100.0,40900.0,41700.0,40300.0,1309209.0,1313375.0,1317124.0,1317619.0,1317507.0,1.0332075643993064,Germany
15,DE27,Schwaben,37900.0,39000.0,40100.0,41000.0,39300.0,1857991.0,1873368.0,1887754.0,1899442.0,1905841.0,1.015863552526896,Germany
16,DE30,Berlin,37600.0,39200.0,41300.0,42900.0,42300.0,3574830.0,3613495.0,3644826.0,3669491.0,3664088.0,1.0629401561805814,Germany
17,DE40,Brandenburg,27100.0,28300.0,29000.0,30000.0,29700.0,2494648.0,2504040.0,2511917.0,2521893.0,2531071.0,0.7433147945318751,Germany
18,DE50,Bremen,46500.0,47600.0,48300.0,49300.0,46900.0,678753.0,681032.0,682986.0,681202.0,680130.0,1.2215139790140481,Germany
19,DE60,Hamburg,61400.0,64000.0,64800.0,67300.0,64400.0,1810438.0,1830584.0,1841179.0,1847253.0,1852478.0,1.667502855733173,Germany
20,DE71,Darmstadt,49400.0,50700.0,51600.0,53000.0,50700.0,3951234.0,3978050.0,3998724.0,4019961.0,4026618.0,1.313189470339646,Germany
21,DE72,Gießen,32300.0,33600.0,34600.0,35600.0,34400.0,1043643.0,1045807.0,1047262.0,1048646.0,1048740.0,0.8820668895111584,Germany
22,DE73,Kassel,35300.0,36000.0,36500.0,37800.0,36300.0,1218211.0,1219405.0,1219823.0,1219473.0,1217796.0,0.9365766411101626,Germany
23,DE80,Mecklenburg-Vorpommern,25500.0,27400.0,27600.0,29200.0,28900.0,1610674.0,1611119.0,1609675.0,1608138.0,1610774.0,0.7234930666776918,Germany
24,DE91,Braunschweig,46400.0,46500.0,48900.0,50100.0,47400.0,1595609.0,1595734.0,1596396.0,1594929.0,1590577.0,1.2413357068682314,Germany
25,DE92,Hannover,36600.0,37500.0,38600.0,40300.0,39300.0,2139976.0,2144120.0,2149805.0,2148238.0,2147704.0,0.9985195406544856,Germany
26,DE93,Lüneburg,26200.0,27200.0,28000.0,29300.0,28600.0,1703945.0,1706464.0,1710914.0,1716448.0,1722474.0,0.7259707826594647,Germany
27,DE94,Weser-Ems,33500.0,34700.0,35300.0,36800.0,35800.0,2506155.0,2516457.0,2525333.0,2533993.0,2542666.0,0.9117994812924334,Germany
28,DEA1,Düsseldorf,38900.0,40500.0,41900.0,42800.0,41700.0,5190790.0,5198820.0,5202321.0,5207457.0,5200090.0,1.0604624401988085,Germany
29,DEA2,Köln,40200.0,41700.0,43300.0,44100.0,43200.0,4439416.0,4454228.0,4468904.0,4478847.0,4475530.0,1.0926727479618563,Germany
30,DEA3,Münster,31400.0,32700.0,33500.0,34900.0,34100.0,2619376.0,2621153.0,2623619.0,2624625.0,2624719.0,0.864722877638748,Germany
31,DEA4,Detmold,35900.0,37000.0,38300.0,39500.0,38300.0,2054205.0,2054343.0,2055310.0,2055724.0,2054178.0,0.9786978128003022,Germany
32,DEA5,Arnsberg,32700.0,33900.0,35200.0,36100.0,35100.0,3586313.0,3583590.0,3582497.0,3580568.0,3571053.0,0.894455469420023,Germany
33,DEB1,Koblenz,31300.0,32700.0,33600.0,34500.0,33700.0,1492187.0,1493055.0,1495885.0,1498223.0,1500830.0,0.8548120137116564,Germany
34,DEB2,Trier,29300.0,29800.0,30500.0,31400.0,30500.0,528728.0,529597.0,531007.0,533113.0,534438.0,0.7780028182766959,Germany
35,DEB3,Rheinhessen-Pfalz,36400.0,36900.0,37600.0,38400.0,37200.0,2045138.0,2051027.0,2057952.0,2062567.0,2063123.0,0.9514429370008001,Germany
36,DEC0,Saarland,34400.0,35500.0,36100.0,36000.0,34500.0,996651.0,994187.0,990509.0,986887.0,983991.0,0.8919777534382501,Germany
37,DED2,Dresden,29100.0,30300.0,31300.0,32400.0,31800.0,1600155.0,1598573.0,1598199.0,1596566.0,1589888.0,0.802779978094425,Germany
38,DED4,Chemnitz,26800.0,27900.0,28600.0,29500.0,29100.0,1454144.0,1444953.0,1436445.0,1426380.0,1413730.0,0.7309262146230104,Germany
39,DED5,Leipzig,30800.0,32000.0,32700.0,34100.0,33300.0,1027484.0,1037782.0,1043293.0,1049025.0,1053323.0,0.8449011497845647,Germany
40,DEE0,Sachsen-Anhalt,26300.0,27300.0,28100.0,29400.0,29000.0,2236252.0,2223081.0,2208321.0,2194782.0,2180684.0,0.7284484986412376,Germany
41,DEF0,Schleswig-Holstein,30500.0,32100.0,32900.0,34300.0,33800.0,2881926.0,2889821.0,2896712.0,2903773.0,2910875.0,0.8498565817481105,Germany
42,DEG0,Thüringen,27300.0,28400.0,29000.0,29800.0,29300.0,2158128.0,2151205.0,2143145.0,2133378.0,2120237.0,0.7383593625683292,Germany
62,FR10,Île de France,56300.0,57700.0,59400.0,61500.0,57400.0,12174880.0,12213447.0,12252917.0,12291557.0,12348605.0,1.96572208231835,France
63,FRB0,Centre - Val de Loire,27500.0,28200.0,28800.0,29200.0,27800.0,2576252.0,2572853.0,2569510.0,2565726.0,2567768.0,0.933318452092615,France
64,FRC1,Bourgogne,27100.0,28300.0,29000.0,29100.0,27900.0,1632887.0,1628737.0,1623815.0,1618321.0,1615259.0,0.9301221560238047,France
65,FRC2,Franche-Comté,25500.0,25900.0,26100.0,27100.0,25500.0,1178536.0,1179070.0,1177762.0,1176196.0,1176550.0,0.8661962346475981,France
66,FRD1,Basse-Normandie,26500.0,26500.0,27200.0,27800.0,26400.0,1474257.0,1471632.0,1467715.0,1463606.0,1463498.0,0.8885703071292704,France
67,FRD2,Haute-Normandie,28800.0,29200.0,29400.0,29700.0,27600.0,1856221.0,1855845.0,1853117.0,1849826.0,1849900.0,0.9492999324366665,France
68,FRE1,Nord-Pas-de-Calais,27000.0,27800.0,28500.0,29800.0,27900.0,4072379.0,4072977.0,4066719.0,4061166.0,4067882.0,0.9524962285054769,France
69,FRE2,Picardie,24700.0,25600.0,25800.0,26400.0,24700.0,1931436.0,1931131.0,1929189.0,1926629.0,1926546.0,0.8438221621659259,France
70,FRF1,Alsace,30900.0,31600.0,32500.0,33100.0,31000.0,1889589.0,1898533.0,1903646.0,1908494.0,1918635.0,1.0579739987762176,France
71,FRF2,Champagne-Ardenne,27500.0,28700.0,29500.0,29500.0,27800.0,1328134.0,1323396.0,1317548.0,1311830.0,1310320.0,0.942907340299046,France
72,FRF3,Lorraine,24600.0,25300.0,25500.0,25700.0,24300.0,2331863.0,2328460.0,2322213.0,2315678.0,2317598.0,0.8214480896842535,France
73,FRG0,Pays-de-la-Loire,29500.0,30200.0,30900.0,31700.0,30100.0,3757600.0,3781423.0,3800348.0,3818421.0,3849977.0,1.0132258538128731,France
74,FRH0,Bretagne,28100.0,29000.0,29400.0,30300.0,29400.0,3318904.0,3335414.0,3347004.0,3358524.0,3386415.0,0.9684777088495286,France
75,FRI1,Aquitaine,29400.0,29900.0,30700.0,31600.0,29600.0,3414585.0,3437398.0,3458041.0,3478538.0,3511921.0,1.0100295577440628,France
76,FRI2,Limousin,24600.0,25300.0,25900.0,25900.0,24800.0,734528.0,731285.0,728859.0,726253.0,724279.0,0.8278406818218742,France
77,FRI3,Poitou-Charentes,26700.0,27400.0,28100.0,28700.0,27400.0,1807865.0,1811095.0,1812353.0,1813633.0,1822237.0,0.9173369717485633,France
78,FRJ1,Languedoc-Roussillon,25000.0,25500.0,26000.0,26800.0,25600.0,2810383.0,2830361.0,2847554.0,2864782.0,2893969.0,0.8566073464411672,France
79,FRJ2,Midi-Pyrénées,30600.0,31100.0,32000.0,32600.0,30400.0,3034719.0,3055135.0,3071427.0,3087068.0,3119320.0,1.0419925184321661,France
80,FRK1,Auvergne,26400.0,27700.0,27700.0,28500.0,27000.0,1364156.0,1368536.0,1370432.0,1371820.0,1373075.0,0.9109443796109427,France
81,FRK2,Rhône-Alpes,33400.0,34200.0,35200.0,36300.0,34300.0,6584131.0,6625923.0,6660101.0,6692326.0,6740730.0,1.160255472978148,France
82,FRL0,Provence-Alpes-Côte d'Azur,31200.0,32000.0,32600.0,33500.0,31500.0,5030890.0,5052832.0,5065696.0,5077582.0,5116360.0,1.070759183051459,France
83,FRM0,Corse,26200.0,26800.0,27600.0,27400.0,25500.0,334938.0,338554.0,342256.0,345867.0,346610.0,0.8757851228540291,France
84,FRY1,Guadeloupe,23700.0,22100.0,22800.0,23400.0,22600.0,425587.0,421694.0,417161.0,412682.0,408142.0,0.7479332801016161,France
85,FRY2,Martinique,23000.0,23600.0,24200.0,25100.0,24600.0,372594.0,368783.0,364413.0,359821.0,356029.0,0.8022703132713916,France
86,FRY3,Guyane,15300.0,15100.0,15600.0,15500.0,15000.0,268700.0,276128.0,282107.0,288086.0,290528.0,0.4954258906656004,France
87,FRY4,La Réunion,21100.0,21600.0,22100.0,22600.0,22100.0,853659.0,855961.0,856547.0,856858.0,866181.0,0.7223629115511335,France
88,FRY5,Mayotte,9000.0,9500.0,9400.0,9700.0,9700.0,250143.0,259621.0,269186.0,278926.0,288348.0,0.31004071867460153,France
110,NL11,Groningen,40200.0,41200.0,42100.0,42500.0,39700.0,583581.0,582944.0,583990.0,585866.0,586937.0,0.9684108961000041,Netherlands
111,NL12,Friesland (NL),28500.0,29500.0,30900.0,32700.0,32300.0,646874.0,647268.0,647672.0,649957.0,651435.0,0.745106736528709,Netherlands
112,NL13,Drenthe,28400.0,29300.0,30800.0,31900.0,31500.0,491792.0,492100.0,492167.0,493682.0,494771.0,0.7268778255432972,Netherlands
113,NL21,Overijssel,34500.0,35800.0,37700.0,39500.0,39300.0,1147687.0,1151501.0,1156431.0,1162406.0,1166533.0,0.9000524799047096,Netherlands
114,NL22,Gelderland,34800.0,36300.0,37800.0,39500.0,39200.0,2047901.0,2060103.0,2071972.0,2085952.0,2096603.0,0.9000524799047096,Netherlands
115,NL23,Flevoland,31100.0,32300.0,33400.0,34600.0,34300.0,407818.0,411670.0,416546.0,423021.0,428226.0,0.7884004001190621,Netherlands
116,NL31,Utrecht,50400.0,52900.0,55300.0,58600.0,58100.0,1284504.0,1295484.0,1306912.0,1319231.0,1361153.0,1.3352677296814173,Netherlands
117,NL32,Noord-Holland,54600.0,56500.0,59400.0,62600.0,59300.0,2809483.0,2831182.0,2853359.0,2879527.0,2888486.0,1.4264122846084766,Netherlands
118,NL33,Zuid-Holland,41700.0,42500.0,43900.0,45400.0,45000.0,3650222.0,3681044.0,3709139.0,3744299.0,3726050.0,1.034490698422122,Netherlands
119,NL34,Zeeland,33200.0,33900.0,36000.0,37200.0,36400.0,381568.0,382304.0,383032.0,383488.0,385400.0,0.8476443608216506,Netherlands
120,NL41,Noord-Brabant,41800.0,43800.0,45600.0,47500.0,47000.0,2512531.0,2528286.0,2544806.0,2562955.0,2573949.0,1.082341589758828,Netherlands
121,NL42,Limburg (NL),36700.0,38100.0,39600.0,41300.0,40500.0,1117546.0,1117198.0,1116137.0,1117201.0,1115872.0,0.9410675296218862,Netherlands
139,UKC1,Tees Valley and Durham,21485.2183,20577.0,21071.558399999998,21557.079899999997,20737.6722,1194437.0,1197992.0,1201543.0,,,0.753371723902039,United Kingdom
140,UKC2,Northumberland and Tyne and Wear,25158.0784,24747.12,24589.1328,25233.1952,24062.4801,1446249.0,1450223.0,1455437.0,,,0.8818437309489517,United Kingdom
141,UKD1,Cumbria,27347.966099999998,26567.699999999997,26826.8704,27743.549399999996,25969.176000000003,498641.0,498216.0,498083.0,,,0.9695749951105103,United Kingdom
142,UKD3,Greater Manchester,28275.419899999997,28530.78,29441.894399999997,30171.193799999997,29112.288300000004,2789735.0,2808080.0,2822003.0,,,1.0544157367663005,United Kingdom
143,UKD4,Lancashire,26117.7189,25448.219999999998,25079.3792,25659.0389,24353.8578,1487102.0,1490434.0,1495318.0,,,0.8967260157421636,United Kingdom
144,UKD6,Cheshire,39206.9769,38749.74,39526.9632,41062.0626,38929.3902,924261.0,927799.0,931347.0,,,1.435027240769073,United Kingdom
145,UKD7,Merseyside,24397.5186,23921.76,23892.169599999997,24760.408099999997,24056.9406,1541473.0,1547607.0,1553324.0,,,0.8653208793281417,United Kingdom
146,UKE1,East Yorkshire and Northern Lincolnshire,24259.234999999997,24206.76,24809.4048,25988.7604,24403.713300000003,929189.0,931065.0,932645.0,,,0.9082490446502935,United Kingdom
147,UKE2,North Yorkshire,28131.175799999997,28580.94,28549.5104,29138.439,27348.511500000004,818141.0,820874.0,824054.0,,,1.0183232665591413,United Kingdom
148,UKE3,South Yorkshire,22120.6076,21828.719999999998,21752.707199999997,22361.8239,21776.882400000002,1389426.0,1397266.0,1404971.0,,,0.7814957266608645,United Kingdom
149,UKE4,West Yorkshire,27069.0147,26722.739999999998,27787.0304,28181.687799999996,27106.9893,2301000.0,2313390.0,2324560.0,,,0.984886952168093,United Kingdom
150,UKF1,Derbyshire and Nottinghamshire,25093.704999999998,24431.339999999997,25057.9168,25855.7541,25024.137300000002,2187643.0,2199851.0,2210381.0,,,0.9036007719720988,United Kingdom
151,UKF2,"Leicestershire, Rutland and Northamptonshire",28248.0016,27565.199999999997,28395.8848,28913.7813,27728.521200000003,1812852.0,1828762.0,1843764.0,,,1.0104719824556359,United Kingdom
152,UKF3,Lincolnshire,21940.6005,22152.48,22494.8544,22953.087199999998,21749.184900000004,747996.0,752671.0,756920.0,,,0.8021590564656127,United Kingdom
