,Region,LAD code,Region name,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,North East,E06000001,Hartlepool,8398.0,8439.0,8944.0,9361.0,9695.0,10028.0,10167.0,10412.0,10947.0,11520.0,11880.0,12260.0,12686.0,13059.0,13411.0,13858.0,13944.0,14393.0,14849.0,14919.0,15195.0,15527.0,15962.0
1,North East,E06000004,Stockton-on-Tees,9756.0,9637.0,10131.0,10647.0,11056.0,11385.0,11699.0,12321.0,12783.0,13146.0,13460.0,13761.0,14165.0,14393.0,14809.0,15219.0,15287.0,15761.0,16147.0,16303.0,16594.0,17070.0,17519.0
2,North East,E06000002,Middlesbrough,8654.0,8298.0,8847.0,9347.0,9757.0,9800.0,9959.0,10420.0,10860.0,11333.0,11471.0,11745.0,12501.0,12573.0,12859.0,13630.0,13788.0,14353.0,14792.0,14753.0,14929.0,15464.0,15835.0
3,North East,E06000003,Redcar and Cleveland,9363.0,9067.0,9477.0,10178.0,10604.0,10698.0,10929.0,11330.0,11735.0,12171.0,12399.0,12648.0,13246.0,13377.0,13665.0,14467.0,14678.0,15247.0,15651.0,15705.0,15895.0,16424.0,16882.0
4,North East,E06000005,Darlington,9638.0,9516.0,9722.0,10611.0,11397.0,11490.0,11785.0,12108.0,12359.0,12556.0,13210.0,13217.0,13824.0,13879.0,13799.0,14374.0,14810.0,15016.0,15704.0,16276.0,16925.0,17306.0,17391.0
5,North East,E06000047,County Durham,9254.0,9429.0,9831.0,10396.0,10741.0,10907.0,11098.0,11674.0,11934.0,12265.0,12544.0,12788.0,13185.0,13603.0,13758.0,14209.0,14522.0,14926.0,15496.0,15549.0,15798.0,16315.0,16617.0
6,North East,E06000057,Northumberland,10299.0,10405.0,10954.0,11704.0,12103.0,12336.0,12864.0,13282.0,13568.0,14370.0,14712.0,15602.0,16514.0,16511.0,16673.0,17273.0,17705.0,18000.0,18699.0,19047.0,19374.0,19846.0,20216.0
7,North East,E08000021,Newcastle upon Tyne,9209.0,9498.0,9711.0,10364.0,10853.0,11162.0,11509.0,11982.0,11911.0,12312.0,12629.0,12832.0,13266.0,13573.0,13680.0,14288.0,14382.0,14667.0,15290.0,15320.0,15426.0,16057.0,16473.0
8,North East,E08000022,North Tyneside,10248.0,10467.0,10604.0,11122.0,11411.0,11666.0,11970.0,12666.0,12691.0,13027.0,13417.0,13529.0,14050.0,14430.0,14604.0,15332.0,15593.0,15977.0,16778.0,16848.0,17140.0,17703.0,18246.0
9,North East,E08000023,South Tyneside,8435.0,8552.0,8676.0,9149.0,9487.0,9637.0,9980.0,10559.0,10773.0,11181.0,11626.0,11802.0,12408.0,12784.0,12978.0,13658.0,13950.0,14310.0,14999.0,15046.0,15218.0,15766.0,15915.0
10,North East,E08000037,Gateshead,8953.0,9192.0,9324.0,9890.0,10403.0,10676.0,10930.0,11399.0,11564.0,11884.0,12228.0,12369.0,12973.0,13267.0,13466.0,14171.0,14538.0,14740.0,15367.0,15387.0,15652.0,16033.0,16477.0
11,North East,E08000024,Sunderland,8549.0,8496.0,8961.0,9619.0,9933.0,10234.0,10481.0,10828.0,11272.0,11598.0,12045.0,12221.0,12603.0,12944.0,13255.0,13840.0,14214.0,14323.0,14771.0,15156.0,15481.0,15669.0,16011.0
14,Northern Ireland,N09000003,Belfast,9872.0,9956.0,10280.0,10871.0,11085.0,11563.0,11636.0,11979.0,12255.0,12723.0,12860.0,13467.0,13730.0,13879.0,14085.0,14356.0,14897.0,15054.0,15383.0,15457.0,15717.0,16459.0,16974.0
