LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,YRLIFELOST,TOT,100000HAB_0_69,A,2018,3478.6,
AUS,YRLIFELOST,TOT,100000HAB_0_69,A,2019,3664.5,
AUS,YRLIFELOST,TOT,100000HAB_0_69,A,2020,3408.8,
AUT,YRLIFELOST,TOT,100000HAB_0_69,A,2018,3763.9,
AUT,YRLIFELOST,TOT,100000HAB_0_69,A,2019,3678.3,
AUT,YRLIFELOST,TOT,100000HAB_0_69,A,2020,3715,
BEL,YRLIFELOST,TOT,100000HAB_0_69,A,2018,4039.8,
CAN,YRLIFELOST,TOT,100000HAB_0_69,A,2018,4217.3,
CAN,YRLIFELOST,TOT,100000HAB_0_69,A,2019,4087.6,
CZE,YRLIFELOST,TOT,100000HAB_0_69,A,2018,4971.8,
CZE,YRLIFELOST,TOT,100000HAB_0_69,A,2019,4869.8,
CZE,YRLIFELOST,TOT,100000HAB_0_69,A,2020,5047.6,
DNK,YRLIFELOST,TOT,100000HAB_0_69,A,2018,3852.8,
FIN,YRLIFELOST,TOT,100000HAB_0_69,A,2018,3981.8,
FIN,YRLIFELOST,TOT,100000HAB_0_69,A,2019,3930.2,
DEU,YRLIFELOST,TOT,100000HAB_0_69,A,2018,4161.7,
DEU,YRLIFELOST,TOT,100000HAB_0_69,A,2019,4028.9,
DEU,YRLIFELOST,TOT,100000HAB_0_69,A,2020,4040.6,
GRC,YRLIFELOST,TOT,100000HAB_0_69,A,2018,4034.6,
GRC,YRLIFELOST,TOT,100000HAB_0_69,A,2019,4048.9,
HUN,YRLIFELOST,TOT,100000HAB_0_69,A,2018,7074.8,
HUN,YRLIFELOST,TOT,100000HAB_0_69,A,2019,6883.9,
ISL,YRLIFELOST,TOT,100000HAB_0_69,A,2018,3238.4,
ISL,YRLIFELOST,TOT,100000HAB_0_69,A,2019,3086.2,
ISL,YRLIFELOST,TOT,100000HAB_0_69,A,2020,3312.1,
IRL,YRLIFELOST,TOT,100000HAB_0_69,A,2018,3512.9,
JPN,YRLIFELOST,TOT,100000HAB_0_69,A,2018,3036.3,
JPN,YRLIFELOST,TOT,100000HAB_0_69,A,2019,2994.8,
KOR,YRLIFELOST,TOT,100000HAB_0_69,A,2018,3320.7,
KOR,YRLIFELOST,TOT,100000HAB_0_69,A,2019,3224.4,
KOR,YRLIFELOST,TOT,100000HAB_0_69,A,2020,3146.9,
LUX,YRLIFELOST,TOT,100000HAB_0_69,A,2018,2916,
LUX,YRLIFELOST,TOT,100000HAB_0_69,A,2019,2941.3,
MEX,YRLIFELOST,TOT,100000HAB_0_69,A,2018,8787,
MEX,YRLIFELOST,TOT,100000HAB_0_69,A,2019,8868.8,
MEX,YRLIFELOST,TOT,100000HAB_0_69,A,2020,12474.8,
NLD,YRLIFELOST,TOT,100000HAB_0_69,A,2018,3486.1,
NLD,YRLIFELOST,TOT,100000HAB_0_69,A,2019,3408.4,
NLD,YRLIFELOST,TOT,100000HAB_0_69,A,2020,3533.8,
POL,YRLIFELOST,TOT,100000HAB_0_69,A,2018,6655.6,
POL,YRLIFELOST,TOT,100000HAB_0_69,A,2019,6506.1,
