Date,Total
10/31/2022,0.164044192
12/31/2021,0.157453531
12/31/2020,0.518568844
12/31/2019,0.360193408
12/31/2018,0.302813554
12/31/2017,0.225843118
12/31/2016,0.273074257
12/31/2015,0.280922931
12/31/2014,0.3691218
12/31/2013,0.441341279
12/31/2012,0.469441529
12/31/2011,0.453883379
12/31/2010,0.296293196
12/31/2009,0.207373783
12/31/2008,1.001865661
12/31/2007,0.457861539
12/31/2006,0.636457821
12/31/2005,1.616839198
12/31/2004,2.894435757
12/31/2003,3.341500748
12/31/2002,3.273733529
12/31/2001,2.781015389
12/31/2000,2.291125857
12/31/1999,2.669916264
12/31/1998,3.100989883
12/31/1997,2.444130341
12/31/1996,1.95434913
12/31/1995,1.935653281
12/31/1994,1.406694492
12/31/1993,1.356529809
12/31/1992,1.292898797
12/31/1991,1.241776907
12/31/1990,1.085002855
12/31/1989,1.14772044
12/31/1988,1.235454399
12/31/1987,1.427004651
12/31/1986,1.648080492
12/31/1985,1.756046337
12/31/1984,1.758624684
