,Page,Category,Date,Size,Abs Edit Size
0,Economic Growth,Economic Concept, 21 October 2022 02:31,125712,265
1,Economic Growth,Economic Concept, 20 October 2022 11:25,125447,11
2,Economic Growth,Economic Concept, 17 October 2022 15:23,125436,697
3,Economic Growth,Economic Concept, 17 October 2022 14:40,124739,761
4,Economic Growth,Economic Concept, 17 October 2022 13:47,125500,761
5,Economic Growth,Economic Concept, 13 October 2022 05:55,124739,561
6,Economic Growth,Economic Concept, 6 October 2022 15:09,124178,1
7,Economic Growth,Economic Concept, 4 October 2022 05:10,124179,1
8,Economic Growth,Economic Concept, 3 October 2022 23:22,124180,1
9,Economic Growth,Economic Concept, 28 September 2022 05:31,124179,22
10,Economic Growth,Economic Concept, 16 September 2022 17:17,124157,4
11,Economic Growth,Economic Concept, 16 September 2022 15:28,124153,339
12,Economic Growth,Economic Concept, 14 September 2022 18:56,124492,229
13,Economic Growth,Economic Concept, 14 September 2022 18:56,124721,229
14,Economic Growth,Economic Concept, 14 September 2022 18:55,124492,0
15,Economic Growth,Economic Concept, 14 September 2022 18:54,124492,0
16,Economic Growth,Economic Concept, 5 September 2022 15:40,124492,19
17,Economic Growth,Economic Concept, 28 August 2022 15:47,124473,1
18,Economic Growth,Economic Concept, 9 August 2022 15:27,124472,37
19,Economic Growth,Economic Concept, 31 July 2022 12:43,124435,0
20,Economic Growth,Economic Concept, 30 July 2022 15:32,124435,63
21,Economic Growth,Economic Concept, 30 July 2022 15:23,124498,63
22,Economic Growth,Economic Concept, 30 July 2022 12:48,124435,175
23,Economic Growth,Economic Concept, 30 July 2022 12:47,124610,1
24,Economic Growth,Economic Concept, 30 July 2022 12:46,124609,175
25,Economic Growth,Economic Concept, 29 July 2022 18:02,124434,82
26,Economic Growth,Economic Concept, 29 July 2022 18:02,124516,82
27,Economic Growth,Economic Concept, 29 July 2022 18:00,124434,78
28,Economic Growth,Economic Concept, 29 July 2022 18:00,124512,78
29,Economic Growth,Economic Concept, 29 July 2022 17:07,124434,88
30,Economic Growth,Economic Concept, 29 July 2022 17:06,124522,3
31,Economic Growth,Economic Concept, 29 July 2022 17:06,124525,91
32,Economic Growth,Economic Concept, 28 July 2022 05:42,124434,2
33,Economic Growth,Economic Concept, 21 July 2022 21:12,124432,94
34,Economic Growth,Economic Concept, 14 July 2022 23:37,124526,177
35,Economic Growth,Economic Concept, 6 July 2022 15:21,124349,144
36,Economic Growth,Economic Concept, 21 June 2022 18:18,124205,1
