,Date,variable,value
0, 21 October 2022 02:31,Page,Economic Growth
1, 20 October 2022 11:25,Page,Economic Growth
2, 17 October 2022 15:23,Page,Economic Growth
3, 17 October 2022 14:40,Page,Economic Growth
4, 17 October 2022 13:47,Page,Economic Growth
5, 13 October 2022 05:55,Page,Economic Growth
6, 6 October 2022 15:09,Page,Economic Growth
7, 4 October 2022 05:10,Page,Economic Growth
8, 3 October 2022 23:22,Page,Economic Growth
9, 28 September 2022 05:31,Page,Economic Growth
10, 16 September 2022 17:17,Page,Economic Growth
11, 16 September 2022 15:28,Page,Economic Growth
12, 14 September 2022 18:56,Page,Economic Growth
13, 14 September 2022 18:56,Page,Economic Growth
14, 14 September 2022 18:55,Page,Economic Growth
15, 14 September 2022 18:54,Page,Economic Growth
16, 5 September 2022 15:40,Page,Economic Growth
17, 28 August 2022 15:47,Page,Economic Growth
18, 9 August 2022 15:27,Page,Economic Growth
19, 31 July 2022 12:43,Page,Economic Growth
20, 30 July 2022 15:32,Page,Economic Growth
21, 30 July 2022 15:23,Page,Economic Growth
22, 30 July 2022 12:48,Page,Economic Growth
23, 30 July 2022 12:47,Page,Economic Growth
24, 30 July 2022 12:46,Page,Economic Growth
25, 29 July 2022 18:02,Page,Economic Growth
26, 29 July 2022 18:02,Page,Economic Growth
27, 29 July 2022 18:00,Page,Economic Growth
28, 29 July 2022 18:00,Page,Economic Growth
29, 29 July 2022 17:07,Page,Economic Growth
30, 29 July 2022 17:06,Page,Economic Growth
31, 29 July 2022 17:06,Page,Economic Growth
32, 28 July 2022 05:42,Page,Economic Growth
33, 21 July 2022 21:12,Page,Economic Growth
34, 14 July 2022 23:37,Page,Economic Growth
35, 6 July 2022 15:21,Page,Economic Growth
36, 21 June 2022 18:18,Page,Economic Growth
37, 11 June 2022 12:01,Page,Economic Growth
38, 11 June 2022 11:46,Page,Economic Growth
39, 9 June 2022 12:48,Page,Economic Growth
40, 9 June 2022 12:37,Page,Economic Growth
41, 9 June 2022 12:33,Page,Economic Growth
42, 9 June 2022 12:32,Page,Economic Growth
43, 3 June 2022 21:36,Page,Economic Growth
44, 1 June 2022 18:57,Page,Economic Growth
45, 31 May 2022 13:14,Page,Economic Growth
46, 25 May 2022 22:45,Page,Economic Growth
47, 25 May 2022 05:20,Page,Economic Growth
48, 24 May 2022 13:00,Page,Economic Growth
49, 24 May 2022 07:59,Page,Economic Growth
50, 24 May 2022 07:44,Page,Economic Growth
51, 23 May 2022 13:24,Page,Economic Growth
52, 20 May 2022 16:03,Page,Economic Growth
53, 20 May 2022 16:02,Page,Economic Growth
54, 20 May 2022 15:59,Page,Economic Growth
55, 17 May 2022 23:46,Page,Economic Growth
56, 17 May 2022 11:11,Page,Economic Growth
57, 17 May 2022 11:08,Page,Economic Growth
58, 17 May 2022 10:58,Page,Economic Growth
59, 17 May 2022 10:56,Page,Economic Growth
60, 17 May 2022 10:50,Page,Economic Growth
61, 17 May 2022 10:44,Page,Economic Growth
62, 17 May 2022 10:40,Page,Economic Growth
63, 15 May 2022 09:06,Page,Economic Growth
64, 12 May 2022 17:28,Page,Economic Growth
65, 12 May 2022 17:27,Page,Economic Growth
66, 11 May 2022 22:50,Page,Economic Growth
67, 11 May 2022 22:19,Page,Economic Growth
68, 27 April 2022 02:34,Page,Economic Growth
69, 10 April 2022 19:26,Page,Economic Growth
70, 10 April 2022 19:21,Page,Economic Growth
71, 7 April 2022 21:57,Page,Economic Growth
72, 7 April 2022 21:53,Page,Economic Growth
73, 7 April 2022 01:37,Page,Economic Growth
74, 7 April 2022 00:27,Page,Economic Growth
75, 3 April 2022 15:20,Page,Economic Growth
76, 1 April 2022 20:39,Page,Economic Growth
77, 1 April 2022 19:08,Page,Economic Growth
78, 1 April 2022 15:21,Page,Economic Growth
79, 1 April 2022 15:12,Page,Economic Growth
80, 1 April 2022 14:50,Page,Economic Growth
81, 21 March 2022 05:04,Page,Economic Growth
82, 16 March 2022 16:52,Page,Economic Growth
83, 16 March 2022 00:03,Page,Economic Growth
84, 7 March 2022 20:11,Page,Economic Growth
85, 27 February 2022 04:16,Page,Economic Growth
86, 2 February 2022 09:38,Page,Economic Growth
87, 26 January 2022 20:30,Page,Economic Growth
88, 25 January 2022 18:01,Page,Economic Growth
