Ward Code,Ward Name ,Year,Total number of pupils,Pupils (free school meals),Free School Meals
E05010899,Frome Vale,2016,,300,25.95155709
E05010903,Hillfields,2016,,385,24.44444444
E05010908,Lockleaze,2016,,472,23.6
E05010916,Stoke Bishop,2016,,163,14.32337434
E05010917,Westbury-on-Trym & Henleaze,2016,,47,1.871764237
E05010918,Windmill Hill,2016,,206,14.00407886
E05010903,Hillfields,2017,1575,326,20.6984127
E05010906,Knowle,2017,2161,403,18.64877372
E05010907,Lawrence Hill,2017,3430,1117,32.56559767
E05010895,Cotham,2018,600,19,3.166666667
E05010905,Hotwells & Harbourside,2018,210,34,16.19047619
E05010907,Lawrence Hill,2018,3477,1032,29.68075928
E05010908,Lockleaze,2018,2094,475,22.68385864
E05010895,Cotham,2019,616,23,3.733766233
E05010903,Hillfields,2019,1684,383,22.74346793
E05010907,Lawrence Hill,2019,3507,1178,33.58996293
E05010916,Stoke Bishop,2019,1182,167,14.1285956
E05010917,Westbury-on-Trym & Henleaze,2019,2736,75,2.74122807
E05010885,Ashley,2020,2443,572,23.41383545
E05010903,Hillfields,2020,1732,430,24.82678984
E05010909,Redland,2020,2120,41,1.933962264
E05010910,St George Central,2020,1478,345,23.34235453
E05010912,St George West,2020,709,139,19.60507757
E05010914,Southville,2020,1293,130,10.05413766
E05010889,Bishopsworth,2021,1806,344,19
E05010905,Hotwells & Harbourside,2021,225,41,18.2
E05010908,Lockleaze,2021,2182,682,31.3
E05010913,Southmead,2021,2320,745,32.1
E05010886,Avonmouth & Lawrence Weston,2022,3665,1198,32.7
E05010892,Central,2022,829,307,37
E05010912,St George West,2022,712,161,22.6
E05010895,Cotham,2016,,25,4.012841091
E05010885,Ashley,2017,2408,525,21.80232558
E05010913,Southmead,2017,2253,498,22.10386152
E05010916,Stoke Bishop,2017,1161,149,12.833764
E05010918,Windmill Hill,2017,1530,197,12.87581699
E05010902,Hengrove & Whitchurch Park,2018,2350,423,18
E05010904,Horfield,2018,1452,236,16.25344353
E05010909,Redland,2018,2062,22,1.066925315
E05010913,Southmead,2018,2253,459,20.37283622
E05010885,Ashley,2019,2437,492,20.18875667
E05010892,Central,2019,726,203,27.96143251
E05010894,Clifton Down,2019,387,26,6.718346253
E05010888,Bishopston & Ashley Down,2020,1636,70,4.278728606
E05010894,Clifton Down,2020,378,26,6.878306878
E05010902,Hengrove & Whitchurch Park,2020,2563,606,23.64416699
E05010905,Hotwells & Harbourside,2020,222,36,16.21621622
E05010911,St George Troopers Hill,2020,387,76,19.63824289
E05010918,Windmill Hill,2020,1698,266,15.66548881
E05010891,Brislington West,2021,1381,284,20.6
E05010893,Clifton,2021,518,68,13.1
E05010900,Hartcliffe & Withywood,2021,4136,2042,49.4
E05010916,Stoke Bishop,2021,1182,202,17.1
E05010887,Bedminster,2022,1350,219,16.2
E05010896,Easton,2022,1778,466,26.2
E05010907,Lawrence Hill,2022,3303,1589,48.1
E05010908,Lockleaze,2022,2153,697,32.4
E05010913,Southmead,2022,2270,741,32.6
E05010917,Westbury-on-Trym & Henleaze,2022,2827,112,4
E05010909,Redland,2016,,38,1.853658537
E05010910,St George Central,2016,,296,20.64156206
E05010908,Lockleaze,2017,2059,500,24.28363283
E05010915,Stockwood,2017,1363,188,13.79310345
E05010917,Westbury-on-Trym & Henleaze,2017,2612,53,2.029096478
E05010889,Bishopsworth,2018,1695,194,11.44542773
E05010911,St George Troopers Hill,2018,342,54,15.78947368
E05010916,Stoke Bishop,2018,1185,158,13.33333333
E05010889,Bishopsworth,2019,1714,236,13.76896149
E05010906,Knowle,2019,2268,442,19.48853616
E05010915,Stockwood,2019,1434,208,14.50488145
E05010891,Brislington West,2020,1376,250,18.16860465
E05010893,Clifton,2020,543,57,10.49723757
E05010896,Easton,2020,1775,366,20.61971831
E05010898,Filwood,2020,3116,1239,39.76251605
E05010899,Frome Vale,2020,1418,333,23.48377997
